,Unnamed: 0,geography code_x,geography,Young 0-19,Working-age 20-64,Retired-age 65-90,0--19,20--64,65--,cluster_x,cluster_y
141,141,E06000026,Plymouth,59732,154937,41715,59283,156441,48969,2,2
142,142,E06000025,South Gloucestershire,63990,154368,44409,66174,170057,54192,3,3
143,143,E06000030,Swindon,51213,129089,28854,55830,140512,37072,3,3
144,144,E06000027,Torbay,27628,72477,30854,27594,74542,37188,1,1
145,145,E06000054,Wiltshire,114045,271448,85488,112822,285985,111529,3,3
146,146,E10000008,Devon,159737,418236,168426,164673,437571,209394,1,1
147,147,E10000009,Dorset,86321,222439,104145,72662,194641,112275,1,1
148,148,E10000013,Gloucestershire,136588,349041,111355,140469,364796,139810,3,3
149,149,E10000027,Somerset,120821,297491,111660,120028,309624,141898,1,1
150,150,W06000001,Isle of Anglesey,14939,39166,15646,14445,36223,18207,1,1
151,151,W06000002,Gwynedd,27955,68779,25140,25138,64986,27273,1,1
152,152,W06000003,Conwy,24365,62701,28162,22693,60675,31373,1,1
153,153,W06000004,Denbighshire,21766,52278,19690,20932,51138,23746,1,1
154,154,W06000005,Flintshire,36216,89454,26836,33777,87959,33229,3,3
155,155,W06000006,Wrexham,32225,79768,22851,30545,77190,27380,3,3
156,156,W06000023,Powys,29136,73594,30246,25689,70364,37121,1,1
157,157,W06000008,Ceredigion,17092,43125,15705,14210,38873,18385,1,1
158,158,W06000009,Pembrokeshire,28006,67740,26693,25701,65322,32343,1,1
159,159,W06000010,Carmarthenshire,41994,103607,38176,40210,102219,45466,1,1
160,160,W06000011,Swansea,54812,141399,42812,52582,137035,48883,2,2
161,161,W06000012,Neath Port Talbot,31455,82306,26051,32281,79875,30134,0,0
162,162,W06000013,Bridgend,32072,82252,24854,31988,83403,30095,0,0
163,163,W06000014,Vale of Glamorgan,30305,72976,23055,29953,72992,28990,3,3
164,164,W06000015,Cardiff,84866,215672,45552,88510,221294,52497,2,2
165,165,W06000016,Rhondda Cynon Taff,56356,137981,40073,54510,136515,46626,0,0
166,166,W06000024,Merthyr Tydfil,14049,34957,9796,13661,34074,11112,0,0
167,167,W06000018,Caerphilly,44052,105189,29565,40038,100507,35411,0,0
168,168,W06000019,Blaenau Gwent,16271,41066,12477,14388,38989,13523,0,0
169,169,W06000020,Torfaen,22112,52593,16370,20946,52173,19155,0,0
170,170,W06000021,Monmouthshire,20821,51459,19043,18329,50590,24042,1,1
171,171,W06000022,Newport,37383,84602,23751,38957,93574,27063,0,0
