"date","geography","geography code","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"2011","Liverpool","E08000012","Total",466415,26099,13590,8664,24315,5432,10811,18329,50636,39966,92015,86674,24418,34027,23709,5307,2423,37.7,35.0
"2011","Sefton","E08000014","Total",273790,14601,8301,5467,15672,3314,6979,6349,15915,14915,47606,59240,18420,28773,20712,4931,2595,42.5,44.0
"2011","St. Helens","E08000013","Total",175308,10269,5684,3587,10212,2184,4466,4309,10522,10501,34137,35782,12255,17612,10294,2402,1092,40.7,41.0
"2011","Wirral","E08000015","Total",319783,18514,10791,6886,19005,4089,8436,7338,18069,17939,58992,67018,21740,31319,21313,5481,2853,41.4,42.0
"2011","East Riding of Yorkshire","E06000011","Total",334179,16400,9990,6640,18625,4191,8229,7976,15779,15073,60345,72406,27070,38716,23720,5947,3072,43.5,45.0
"2011","Kingston upon Hull, City of","E06000010","Total",256406,17358,8754,5220,13944,3090,6413,7913,24040,20274,52108,47717,13844,18301,12788,3166,1476,37.5,36.0
"2011","North East Lincolnshire","E06000012","Total",159616,10005,5546,3420,9264,2004,4119,4148,10521,9987,29802,32277,10236,14733,9813,2469,1272,40.2,41.0
"2011","North Lincolnshire","E06000013","Total",167446,10282,5782,3595,9550,2132,4217,3806,9522,9969,31667,35433,11452,16263,10012,2542,1222,40.8,42.0
"2011","York","E06000014","Total",198051,10677,5747,3601,9712,2039,4179,7879,19746,14159,38818,36363,11716,16929,11629,3200,1657,39.5,38.0
"2011","North Yorkshire","E10000023","Total",598376,31040,18505,12344,34410,7406,15019,13634,31394,29923,106914,129966,44622,65334,41076,10891,5898,42.8,44.0
"2011","Barnsley","E08000016","Total",231221,13957,7798,4764,13378,2989,5804,5597,13533,14446,45725,48377,14843,22080,13250,3279,1401,40.4,41.0
"2011","Doncaster","E08000017","Total",302402,19220,10558,6514,17407,3794,7907,7236,19417,20239,58258,61864,18847,27109,17660,4346,2026,39.8,40.0
"2011","Rotherham","E08000018","Total",257280,15738,8923,5722,15664,3215,6797,6205,15227,15422,49874,52987,16664,24783,14560,3684,1815,40.2,41.0
"2011","Sheffield","E08000019","Total",552698,33977,18825,11512,30193,6177,12627,23505,56134,38805,110267,96291,28687,44688,29237,7600,4173,37.9,36.0
"2011","Bradford","E08000032","Total",522452,41167,22903,14579,36268,7414,14248,13706,35679,38810,108439,93087,26760,35488,24300,6493,3111,36.2,34.0
"2011","Calderdale","E08000033","Total",203826,12906,7403,4579,12563,2730,5163,4736,11421,12089,41938,42482,13344,17593,10585,2831,1463,39.6,40.0
"2011","Kirklees","E08000034","Total",422458,28331,15976,10051,26177,5614,10669,11264,28826,27475,86893,81187,25845,35035,21092,5316,2707,38.4,38.0
"2011","Leeds","E08000035","Total",751485,47844,25177,15404,40167,8901,17178,26756,71874,59860,155762,132786,40178,56455,38561,9600,4982,37.6,35.0
"2011","Wakefield","E08000036","Total",325837,19545,10931,6712,18774,4078,8374,7567,19566,20773,65311,67843,21221,30342,18138,4504,2158,40.2,41.0
"2011","Derby","E06000015","Total",248752,17743,9329,5654,14857,3093,6250,7385,20069,18211,51298,44608,12586,18884,13540,3564,1681,37.6,36.0
"2011","Leicester","E06000016","Total",329839,24297,12925,7855,20162,4040,8608,11842,35406,29571,68167,55694,14056,18888,12936,3605,1787,34.8,31.0
"2011","Nottingham","E06000018","Total",305680,19959,10194,6235,15860,3328,6818,16913,42766,26232,61519,47678,12626,17520,12877,3529,1626,34.8,30.0
"2011","Rutland","E06000017","Total",37369,1854,1129,721,2352,630,1434,831,1740,1907,6686,7521,2715,4218,2530,719,382,42.4,43.0
"2011","Derbyshire","E10000007","Total",769686,41545,24628,15821,44957,9835,19880,17450,40958,41007,151061,164883,54770,77789,46475,12276,6351,41.6,43.0
"2011","Leicestershire","E10000018","Total",650489,36154,21369,13677,38100,8081,16703,18515,40925,35050,126581,135543,44354,61791,38436,10182,5028,40.8,42.0
"2011","Lincolnshire","E10000019","Total",713653,37351,21222,13864,40470,8971,17408,17545,41556,38933,128490,147211,52781,80273,48767,12467,6344,42.5,44.0
"2011","Northamptonshire","E10000021","Total",691952,46012,25279,15915,42030,8635,17733,16132,39694,43619,146623,139840,44404,58129,33935,9252,4720,39.1,39.0
"2011","Nottinghamshire","E10000024","Total",785802,45259,25459,16288,45750,9566,19981,18307,44562,44051,155113,165910,53109,77221,47073,12268,5885,41.1,42.0
"2011","Herefordshire, County of","E06000019","Total",183477,9580,5550,3630,10494,2261,4519,3904,9431,9681,32849,38958,13604,20496,13196,3535,1789,43.0,44.0
