"date","geography","geography code","Rural Urban","Economic Activity: All categories: Economic activity; measures: Value","Economic Activity: Economically active: Total; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically inactive: Total; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value"
"2011","Isles of Scilly","E06000053","Total",1622,1331,220,653,17,124,82,210,18,7,291,209,13,26,14,29
"2011","North Somerset","E06000024","Total",145352,102607,23117,55596,527,2957,4172,7770,4350,4118,42745,25366,4591,5082,5607,2099
"2011","Plymouth","E06000026","Total",191786,127742,28356,69234,529,2429,3245,6913,8136,8900,64044,27019,16060,7482,10042,3441
"2011","Poole","E06000029","Total",106391,75720,16215,42040,427,1951,2950,5560,3413,3164,30671,17178,4008,4338,3486,1661
"2011","South Gloucestershire","E06000025","Total",192468,143198,31453,82489,584,3131,4158,9274,5354,6755,49270,27390,7885,6244,4872,2879
"2011","Swindon","E06000030","Total",154080,117039,22137,71912,329,2027,2891,6814,6518,4411,37041,17868,4895,6301,5271,2706
"2011","Torbay","E06000027","Total",94000,61795,14782,29537,421,1999,2683,5644,4275,2454,32205,18416,3032,3624,5454,1679
"2011","Wiltshire","E06000054","Total",339595,250792,50806,143218,1269,6965,10635,19233,9999,8667,88803,49893,11119,13554,9102,5135
"2011","Devon","E10000008","Total",541219,371847,84667,181896,2738,14146,20126,37542,15256,15476,169372,98590,25369,18374,18222,8817
"2011","Dorset","E10000009","Total",293441,199943,46265,101952,1402,6747,10334,18249,7986,7008,93498,59463,9336,10556,9080,5063
"2011","Gloucestershire","E10000013","Total",437088,316633,65427,174614,1685,8976,13602,24596,14232,13501,120455,64968,19114,16240,13326,6807
"2011","Somerset","E10000027","Total",381185,269768,60626,141278,1561,8545,12705,23971,11350,9732,111417,64972,13422,13935,13317,5771
"2011","Isle of Anglesey","W06000001","Total",50818,33023,6949,17274,247,1134,1157,2662,2381,1219,17795,10150,2266,1891,2592,896
"2011","Gwynedd","W06000002","Total",88913,57995,12300,27834,373,2464,2326,5766,3176,3756,30918,14561,7814,3062,3867,1614
"2011","Conwy","W06000003","Total",81906,53792,12398,26697,346,2077,1948,4773,3362,2191,28114,16178,3453,2684,4363,1436
"2011","Denbighshire","W06000004","Total",67676,44409,9696,23121,265,1587,1518,3601,2857,1764,23267,12487,3239,2314,4088,1139
"2011","Flintshire","W06000005","Total",112325,78957,16875,45785,372,1844,2052,4611,4332,3086,33368,18839,4240,3858,4829,1602
"2011","Wrexham","W06000006","Total",98691,68413,14567,39011,316,1740,1692,3797,4128,3162,30278,14983,4409,3799,5269,1818
"2011","Powys","W06000023","Total",96069,66846,13955,31210,482,3109,3399,9715,2928,2048,29223,17283,3539,3036,3926,1439
"2011","Ceredigion","W06000008","Total",57405,35064,6612,15161,218,1587,1776,4677,1469,3564,22341,9550,7835,1610,2521,825
"2011","Pembrokeshire","W06000009","Total",88049,58120,13507,27231,449,2675,2652,6087,3555,1964,29929,16505,3311,3766,4693,1654
"2011","Carmarthenshire","W06000010","Total",132930,86217,18475,44839,498,2952,2955,8237,4962,3299,46713,24097,5992,5007,9055,2562
"2011","Swansea","W06000011","Total",176971,111460,25141,59606,558,2708,2858,5542,6831,8216,65511,27684,15342,6565,12146,3774
"2011","Neath Port Talbot","W06000012","Total",102986,64110,14335,36977,268,1257,1368,3015,4630,2260,38876,17837,4397,4446,9839,2357
"2011","Bridgend","W06000013","Total",102805,66449,14633,38066,272,1495,1556,3411,4687,2329,36356,17204,4228,3986,7899,3039
"2011","Vale of Glamorgan","W06000014","Total",91816,63384,13657,34955,375,2039,2101,4016,3956,2285,28432,14912,4235,3362,4414,1509
"2011","Cardiff","W06000015","Total",260268,174753,32468,97170,750,3901,4622,9044,11566,15232,85515,27061,28383,10403,13477,6191
"2011","Rhondda Cynon Taff","W06000016","Total",172047,108730,23068,61225,402,2423,2181,6027,8104,5300,63317,27595,9914,7007,14854,3947
"2011","Merthyr Tydfil","W06000024","Total",43377,27833,5913,15882,111,592,501,1286,2481,1067,15544,6690,2078,1678,4107,991
"2011","Caerphilly","W06000018","Total",130950,84932,17292,50160,342,1842,1657,4061,6731,2847,46018,21032,5869,5645,10731,2741
"2011","Blaenau Gwent","W06000019","Total",51809,32145,6763,18147,132,586,522,1366,3557,1072,19664,8709,2245,2312,4995,1403
"2011","Torfaen","W06000020","Total",66107,43820,9535,25574,177,854,793,2032,3163,1692,22287,11115,2662,2897,4410,1203
"2011","Monmouthshire","W06000021","Total",66107,45272,9352,24246,293,1648,2001,4014,2217,1501,20835,11640,2838,2426,2646,1285
"2011","Newport","W06000022","Total",105141,71011,15531,39177,318,1593,1615,3368,5616,3793,34130,15389,5591,4642,6039,2469
