geography,geography code,Rural Urban,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,Distance travelled to work: Less than 2km; measures: Value,Distance travelled to work: 2km to less than 5km; measures: Value,Distance travelled to work: 5km to less than 10km; measures: Value,Distance travelled to work: 10km to less than 20km; measures: Value,Distance travelled to work: 20km to less than 30km; measures: Value,Distance travelled to work: 30km to less than 40km; measures: Value,Distance travelled to work: 40km to less than 60km; measures: Value,Distance travelled to work: 60km and over; measures: Value,Distance travelled to work: Work mainly at or from home; measures: Value,Distance travelled to work: Other; measures: Value,Economic Activity: Economically active: Employee: Part-time; measures: Value,Economic Activity: Economically active: Employee: Full-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value,Economic Activity: Economically active: Unemployed; measures: Value,Economic Activity: Economically active: Full-time student; measures: Value,Economic Activity: Economically inactive: Retired; measures: Value,Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Economic Activity: Economically inactive: Looking after home or family; measures: Value,Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Economic Activity: Economically inactive: Other; measures: Value,Age: Age 0 to 4; measures: Value,Age: Age 5 to 7; measures: Value,Age: Age 8 to 9; measures: Value,Age: Age 10 to 14; measures: Value,Age: Age 15; measures: Value,Age: Age 16 to 17; measures: Value,Age: Age 18 to 19; measures: Value,Age: Age 20 to 24; measures: Value,Age: Age 25 to 29; measures: Value,Age: Age 30 to 44; measures: Value,Age: Age 45 to 59; measures: Value,Age: Age 60 to 64; measures: Value,Age: Age 65 to 74; measures: Value,Age: Age 75 to 84; measures: Value,Age: Age 85 to 89; measures: Value,Age: Age 90 and over; measures: Value,No Cars and Vans,1 Car or Van,"(2, 3, 4) Car or Van",Young 0-19,Working-age 20-64,Retired-age 65-90,Distance (Work from home),Distance < 10 km,10 km < Distance < 30 km,30 km < Distanc < 60 km,Unemployed,Economically active,Economically Inactive,cluster,P1,P2
Stockport,E08000007,Total,26781,52372,34324,6526,1976,20812,29557,29992,23689,3157,1549,2095,2864,13362,10053,29946,83049,752,4049,4888,9975,8002,5635,31395,8674,7139,8527,3279,17342,9772,6036,16759,3544,7169,6162,15184,15896,57069,59052,18263,26515,17762,4441,2309,26781,52372,42826,66784,165464,51027,13362,80361,26846,6508,8002,138294,59014,0,9.051443,-3.7697997
Tameside,E08000008,Total,28132,41793,20497,3593,938,18180,23046,22200,16585,2249,1197,1494,1920,7651,7370,21377,65546,470,2200,2757,6595,8052,4019,23682,6865,6443,9970,3483,14439,7727,4728,13029,2785,5787,5415,13744,14320,44882,44400,13867,19044,10977,2822,1358,28132,41793,25028,53910,131213,34201,7651,63426,18834,4611,8052,102964,50443,0,9.227096,-3.8164682
Trafford,E08000009,Total,20485,40855,26861,4923,1360,16539,23249,26282,17480,3071,1175,1804,2535,11166,7611,22799,68201,657,3416,4132,7649,6136,5074,21729,7200,6426,6499,2888,14870,8531,5501,14076,2846,5907,4773,11776,13764,49221,46226,12814,18325,12899,3371,1678,20485,40855,33144,56504,133801,36273,11166,66070,20551,5514,6136,111928,44742,0,9.042241,-4.00812
Wigan,E08000010,Total,33606,59544,34821,6642,1773,24856,29011,28699,25166,11832,3450,1081,3320,10864,11629,32880,94703,640,3324,4016,9465,11483,6270,38211,8293,8302,14652,4256,19681,11178,6866,18270,4029,8064,7477,19310,20174,66112,63840,21199,30319,15930,3682,1718,33606,59544,43236,75565,190635,51649,10864,82566,36998,7851,11483,151298,73714,0,8.85819,-3.0668778
Lancashire,E10000017,Total,113467,215777,130414,27546,9095,101990,107240,94677,77197,30340,17106,11153,13186,53842,39477,121611,322746,3316,16965,18960,37916,32261,31415,138771,46051,30492,41318,17308,68591,38980,24585,67883,14344,29186,33352,78594,68819,221875,235357,78580,113367,70377,18380,9069,113467,215777,167055,276921,683225,211193,53842,303907,107537,41445,32261,552929,273940,3,7.7057424,-1.8404882
Knowsley,E08000011,Total,22739,25044,11085,2024,431,9948,11064,15620,11750,1424,1093,769,1593,3531,4899,15173,38065,208,1083,1386,3541,6926,3235,14415,5127,4822,9333,2841,9121,5107,3205,9200,2035,4120,3968,9846,9229,27369,31470,8209,11944,8706,1688,676,22739,25044,13540,36756,86123,23014,3531,36632,13174,3455,6926,62691,36538,0,9.399833,-4.128633
Liverpool,E08000012,Total,95281,78775,27031,4358,1070,34811,51672,48405,17061,5491,2175,4363,4965,12180,15507,44816,116778,865,4092,4825,10894,23980,20020,41070,36781,13683,28453,10619,26099,13590,8664,24315,5432,10811,18329,50636,39966,92015,86674,24418,34027,23709,5307,2423,95281,78775,32459,107240,293709,65466,12180,134888,22552,11503,23980,202290,130606,2,10.139886,-6.6120605
Sefton,E08000014,Total,33592,50995,26553,5276,1514,23016,21780,20466,20659,8431,2490,2346,3074,10137,9520,29799,71019,638,3430,3995,8204,9708,6219,34329,8676,6705,11612,3863,14601,8301,5467,15672,3314,6979,6349,15915,14915,47606,59240,18420,28773,20712,4931,2595,33592,50995,33343,60683,156096,57011,10137,65262,29090,7910,9708,123304,65185,0,8.563689,-3.403687
St. Helens,E08000013,Total,20212,32283,18820,3466,955,12438,17763,14800,13874,4065,2561,604,1928,5347,5200,18169,49968,330,1679,1766,4246,6640,3323,22144,5294,4971,8638,2416,10269,5684,3587,10212,2184,4466,4309,10522,10501,34137,35782,12255,17612,10294,2402,1092,20212,32283,23241,40711,103197,31400,5347,45001,17939,5093,6640,79481,43463,0,8.986948,-3.286199
Wirral,E08000015,Total,39391,60656,32544,6199,1793,20927,30527,32533,19400,5932,1877,2717,4051,11602,10363,34513,83696,725,3839,4424,8346,11939,5758,38761,10491,9046,14724,4589,18514,10791,6886,19005,4089,8436,7338,18069,17939,58992,67018,21740,31319,21313,5481,2853,39391,60656,40536,75059,183758,60966,11602,83987,25332,8645,11939,141301,77611,0,8.801065,-3.7516744
